year,club,gam_delta,tam_delta,base_tam,base_gam,addtl_gam,available_tam,available_gam,available_xam
2018,FC Dallas,0.0,225000.0,2300000,1350000,400000,2525000.0,1750000.0,4275000.0
2018,CF Montreal,0.0,-75000.0,2300000,1350000,200000,2225000.0,1550000.0,3775000.0
2018,LAFC,0.0,0.0,2300000,1350000,1100000,2300000.0,2450000.0,4750000.0
2018,San Jose,135000.0,0.0,2300000,1350000,50000,2300000.0,1535000.0,3835000.0
2018,Columbus Crew,300000.0,150000.0,2300000,1350000,50000,2450000.0,1700000.0,4150000.0
2018,Minnesota,125000.0,100000.0,2300000,1350000,200000,2400000.0,1675000.0,4075000.0
2018,Seattle Sounders,50000.0,0.0,2300000,1350000,250000,2300000.0,1650000.0,3950000.0
2018,D.C. United,-350000.0,-50000.0,2300000,1350000,200000,2250000.0,1200000.0,3450000.0
2018,Colorado Rapids,-50000.0,50000.0,2300000,1350000,400000,2350000.0,1700000.0,4050000.0
2018,New England,100000.0,250000.0,2300000,1350000,200000,2550000.0,1650000.0,4200000.0
2018,Philadelphia,-1200000.0,50000.0,2300000,1350000,200000,2350000.0,350000.0,2700000.0
2018,Kansas City,-100000.0,-150000.0,2300000,1350000,250000,2150000.0,1500000.0,3650000.0
2018,LA Galaxy,0.0,-400000.0,2300000,1350000,200000,1900000.0,1550000.0,3450000.0
2018,Real Salt Lake,0.0,0.0,2300000,1350000,200000,2300000.0,1550000.0,3850000.0
2018,Orlando City,-300000.0,200000.0,2300000,1350000,200000,2500000.0,1250000.0,3750000.0
2018,Toronto FC,0.0,0.0,2300000,1350000,250000,2300000.0,1600000.0,3900000.0
2019,FC Cincinnati,-1400000.0,-100000.0,2400000,1350000,1100000,2300000.0,1050000.0,3350000.0
2019,New York Red Bulls,-275000.0,0.0,2400000,1350000,250000,2400000.0,1325000.0,3725000.0
2019,Chicago,-450000.0,-150000.0,2400000,1350000,400000,2250000.0,1300000.0,3550000.0
2019,Houston,-125000.0,-75000.0,2400000,1350000,650000,2325000.0,1875000.0,4200000.0
2019,FC Dallas,150000.0,175000.0,2400000,1350000,50000,2575000.0,1550000.0,4125000.0
2019,CF Montreal,0.0,50000.0,2400000,1350000,200000,2450000.0,1550000.0,4000000.0
2019,Atlanta United,0.0,750000.0,2400000,1350000,200000,3150000.0,1550000.0,4700000.0
2019,San Jose,0.0,0.0,2400000,1350000,200000,2400000.0,1550000.0,3950000.0
2019,Vancouver Whitecaps,725000.0,75000.0,2400000,1350000,250000,2475000.0,2325000.0,4800000.0
2019,Minnesota,-750000.0,200000.0,2400000,1350000,200000,2600000.0,800000.0,3400000.0
2019,D.C. United,-250000.0,-75000.0,2400000,1350000,50000,2325000.0,1150000.0,3475000.0
2019,Colorado Rapids,-225000.0,-75000.0,2400000,1350000,200000,2325000.0,1325000.0,3650000.0
2019,New England,100000.0,0.0,2400000,1350000,200000,2400000.0,1650000.0,4050000.0
2019,Kansas City,1100000.0,-50000.0,2400000,1350000,200000,2350000.0,2650000.0,5000000.0
2019,LA Galaxy,250000.0,0.0,2400000,1350000,400000,2400000.0,2000000.0,4400000.0
2019,Real Salt Lake,0.0,150000.0,2400000,1350000,200000,2550000.0,1550000.0,4100000.0
2019,Orlando City,-50000.0,-100000.0,2400000,1350000,200000,2300000.0,1500000.0,3800000.0
2019,Toronto FC,150000.0,50000.0,2400000,1350000,400000,2450000.0,1900000.0,4350000.0
2020,New York City FC,0.0,0.0,2800000,1525000,250000,2800000.0,1775000.0,4575000.0
2020,FC Cincinnati,-150000.0,0.0,2800000,1525000,250000,2800000.0,1625000.0,4425000.0
2020,New York Red Bulls,0.0,0.0,2800000,1525000,200000,2800000.0,1725000.0,4525000.0
2020,Inter Miami,0.0,0.0,2800000,1525000,2500000,2800000.0,4025000.0,6825000.0
2020,Chicago,-50000.0,0.0,2800000,1525000,200000,2800000.0,1675000.0,4475000.0
2020,Houston,-575000.0,0.0,2800000,1525000,200000,2800000.0,1150000.0,3950000.0
2020,CF Montreal,-650000.0,75000.0,2800000,1525000,400000,2875000.0,1275000.0,4150000.0
2020,Portland,0.0,0.0,2800000,1525000,250000,2800000.0,1775000.0,4575000.0
2020,LAFC,825000.0,50000.0,2800000,1525000,250000,2850000.0,2600000.0,5450000.0
2020,Atlanta United,0.0,750000.0,2800000,1525000,250000,3550000.0,1775000.0,5325000.0
2020,San Jose,725000.0,0.0,2800000,1525000,200000,2800000.0,2450000.0,5250000.0
2020,Columbus Crew,125000.0,0.0,2800000,1525000,250000,2800000.0,1900000.0,4700000.0
2020,Vancouver Whitecaps,50000.0,0.0,2800000,1525000,200000,2800000.0,1775000.0,4575000.0
2020,Minnesota,1050000.0,-50000.0,2800000,1525000,250000,2750000.0,2825000.0,5575000.0
2020,Seattle Sounders,-250000.0,0.0,2800000,1525000,250000,2800000.0,1525000.0,4325000.0
2020,Nashville,-1775000.0,0.0,2800000,1525000,2500000,2800000.0,2250000.0,5050000.0
2020,D.C. United,0.0,-750000.0,2800000,1525000,200000,2050000.0,1725000.0,3775000.0
2020,Colorado Rapids,-50000.0,-75000.0,2800000,1525000,200000,2725000.0,1675000.0,4400000.0
2020,New England,-25000.0,0.0,2800000,1525000,50000,2800000.0,1550000.0,4350000.0
2020,Philadelphia,450000.0,0.0,2800000,1525000,200000,2800000.0,2175000.0,4975000.0
2020,Kansas City,50000.0,0.0,2800000,1525000,250000,2800000.0,1825000.0,4625000.0
2020,LA Galaxy,275000.0,0.0,2800000,1525000,200000,2800000.0,2000000.0,4800000.0
2020,Real Salt Lake,100000.0,0.0,2800000,1525000,200000,2800000.0,1825000.0,4625000.0
2020,Orlando City,0.0,0.0,2800000,1525000,200000,2800000.0,1725000.0,4525000.0
2020,Toronto FC,0.0,0.0,2800000,1525000,200000,2800000.0,1725000.0,4525000.0
2021,New York City FC,950000.0,0.0,2800000,1525000,200000,2800000.0,2675000.0,5475000.0
2021,FC Cincinnati,775000.0,0.0,2800000,1525000,200000,2800000.0,2500000.0,5300000.0
2021,New York Red Bulls,-25000.0,0.0,2800000,1525000,50000,2800000.0,1550000.0,4350000.0
2021,Chicago,400000.0,0.0,2800000,1525000,400000,2800000.0,2325000.0,5125000.0
2021,Austin FC,-1350000.0,0.0,2800000,1525000,2500000,2800000.0,2675000.0,5475000.0
2021,Houston,-1068675.0,0.0,2800000,1525000,200000,2800000.0,656325.0,3456325.0
2021,Atlanta United,375000.0,0.0,2800000,1525000,400000,2800000.0,2300000.0,5100000.0
2021,San Jose,-667000.0,0.0,2800000,1525000,50000,2800000.0,908000.0,3708000.0
2021,Columbus Crew,-325000.0,0.0,2800000,1525000,200000,2800000.0,1400000.0,4200000.0
2021,Vancouver Whitecaps,-275000.0,0.0,2800000,1525000,200000,2800000.0,1450000.0,4250000.0
2021,Seattle Sounders,-50000.0,0.0,2800000,1525000,200000,2800000.0,1675000.0,4475000.0
2021,Nashville,-450000.0,0.0,2800000,1525000,50000,2800000.0,1125000.0,3925000.0
2021,D.C. United,-300000.0,0.0,2800000,1525000,200000,2800000.0,1425000.0,4225000.0
2021,Philadelphia,0.0,0.0,2800000,1525000,200000,2800000.0,1725000.0,4525000.0
2021,Kansas City,0.0,0.0,2800000,1525000,200000,2800000.0,1725000.0,4525000.0
2021,LA Galaxy,0.0,0.0,2800000,1525000,250000,2800000.0,1775000.0,4575000.0
2021,Real Salt Lake,500000.0,0.0,2800000,1525000,200000,2800000.0,2225000.0,5025000.0
2021,Orlando City,0.0,0.0,2800000,1525000,250000,2800000.0,1775000.0,4575000.0
2021,Toronto FC,0.0,0.0,2800000,1525000,200000,2800000.0,1725000.0,4525000.0
2022,New York City FC,1300000.0,0.0,2800000,1625000,250000,2800000.0,3175000.0,5975000.0
2022,FC Cincinnati,-525000.0,0.0,2800000,1625000,200000,2800000.0,1300000.0,4100000.0
2022,Inter Miami,975000.0,0.0,2800000,1625000,200000,2800000.0,2800000.0,5600000.0
2022,Chicago,-975000.0,0.0,2800000,1625000,200000,2800000.0,850000.0,3650000.0
2022,Charlotte FC,-125000.0,0.0,2800000,1625000,2500000,2800000.0,4000000.0,6800000.0
2022,Austin FC,-700000.0,0.0,2800000,1625000,250000,2800000.0,1175000.0,3975000.0
2022,Houston,-631325.0,0.0,2800000,1625000,200000,2800000.0,1193675.0,3993675.0
2022,FC Dallas,-2450000.0,0.0,2800000,1625000,200000,2800000.0,-625000.0,2175000.0
2022,CF Montreal,-1600000.0,0.0,2800000,1625000,400000,2800000.0,425000.0,3225000.0
2022,LAFC,-1493675.0,0.0,2800000,1625000,250000,2800000.0,381325.0,3181325.0
2022,Atlanta United,300000.0,0.0,2800000,1625000,50000,2800000.0,1975000.0,4775000.0
2022,San Jose,-450000.0,0.0,2800000,1625000,200000,2800000.0,1375000.0,4175000.0
2022,Columbus Crew,1725000.0,0.0,2800000,1625000,200000,2800000.0,3550000.0,6350000.0
2022,Seattle Sounders,900000.0,0.0,2800000,1625000,200000,2800000.0,2725000.0,5525000.0
2022,D.C. United,1975000.0,0.0,2800000,1625000,250000,2800000.0,3850000.0,6650000.0
2022,Colorado Rapids,-400000.0,0.0,2800000,1625000,200000,2800000.0,1425000.0,4225000.0
2022,New England,150000.0,0.0,2800000,1625000,200000,2800000.0,1975000.0,4775000.0
2022,LA Galaxy,-500000.0,0.0,2800000,1625000,200000,2800000.0,1325000.0,4125000.0
2022,Toronto FC,600000.0,0.0,2800000,1625000,200000,2800000.0,2425000.0,5225000.0
